,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_k,param_metric,param_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,split9_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
433,0.0992978572845459,0.015077185410526675,0.03650505542755127,0.0014244132555910765,9,cityblock,28,uniform,"{'k': 9, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.48,0.24,0.24,0.76,0.6329230769230769,0.21588864102922084,24,0.5833333333333334,0.42083333333333334,1.0,1.0,1.0,1.0,0.5175438596491229,0.5921052631578947,0.543859649122807,0.7543859649122807,0.7412061403508772,0.22512992662109269,1,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.48684210526315785,0.5,0.38596491228070173,0.5570175438596491,0.5096491228070176,0.06578362547106201,123,0.358974358974359,0.33139878024788516,0.9999999999999999,0.9999999999999999,1.0,1.0,0.24702664466596355,0.3264705882352941,0.48,0.3958333333333333,0.6139703705456834,0.3199657511056769,2,0.0,0.0,0.0,0.0,0.0,0.5,0.3157894736842105,0.3870967741935484,0.2962962962962963,0.25,0.17491825441740552,0.18544391124956955,143
429,0.09139444828033447,0.017510952868211423,0.03571934700012207,0.0015915789450548462,9,cityblock,24,uniform,"{'k': 9, 'metric': 'cityblock', 'neighbors': 24, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.8,0.44,0.24,0.24,0.8,0.6289230769230769,0.21830091603295762,79,0.5833333333333334,0.46249999999999997,1.0,1.0,1.0,1.0,0.4385964912280702,0.5175438596491229,0.5964912280701753,0.780701754385965,0.7379166666666667,0.23119028992961804,2,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.40350877192982454,0.5,0.38596491228070173,0.5833333333333334,0.4956140350877193,0.060009232899954655,250,0.358974358974359,0.2422722205330901,1.0,1.0,1.0,1.0,0.2579365079365079,0.283008658008658,0.48833333333333334,0.47916666666666663,0.6109691745452615,0.3270199349154627,3,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.3870967741935484,0.2962962962962963,0.2857142857142857,0.14770438641406383,0.1523540522277745,280
434,0.084128999710083,0.014468301966416726,0.03648941516876221,0.001484689287399865,9,cityblock,29,uniform,"{'k': 9, 'metric': 'cityblock', 'neighbors': 29, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7692307692307693,0.76,0.48,0.24,0.24,0.76,0.6287692307692307,0.21170264956849152,142,0.5833333333333334,0.42083333333333334,1.0,1.0,1.0,1.0,0.5526315789473685,0.6052631578947368,0.42105263157894735,0.736842105263158,0.7319956140350877,0.2347699813772922,3,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.48684210526315785,0.5,0.38596491228070173,0.5,0.4944235588972431,0.042388919882034304,270,0.358974358974359,0.33139878024788516,1.0,1.0,1.0,1.0,0.3125,0.32407407407407407,0.22035087719298246,0.375,0.59222980904893,0.3351396782322561,25,0.0,0.0,0.0,0.0,0.25,0.0,0.3157894736842105,0.3870967741935484,0.2962962962962963,0.0,0.12491825441740552,0.15614502765467358,382
371,0.5097460746765137,0.10793042503167649,0.21645717620849608,0.013793713712801843,8,cityblock,24,uniform,"{'k': 8, 'metric': 'cityblock', 'neighbors': 24, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.8,0.44,0.24,0.24,0.8,0.6289230769230769,0.21830091603295762,79,0.5833333333333334,0.46249999999999997,1.0,1.0,1.0,0.9824561403508771,0.4385964912280702,0.4473684210526316,0.5964912280701753,0.780701754385965,0.7291447368421052,0.23678809589677005,4,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.40350877192982454,0.5,0.38596491228070173,0.5833333333333334,0.4956140350877193,0.060009232899954655,250,0.358974358974359,0.2422722205330901,1.0,1.0,1.0,0.9166666666666665,0.2579365079365079,0.3157894736842105,0.48833333333333334,0.47916666666666663,0.6059139227794834,0.31477670681703335,6,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.3870967741935484,0.2962962962962963,0.2857142857142857,0.14770438641406383,0.1523540522277745,280
376,0.5928186178207397,0.19779786095084523,0.21780576705932617,0.01424181652555619,8,cityblock,29,uniform,"{'k': 8, 'metric': 'cityblock', 'neighbors': 29, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.6,0.24,0.2,0.8,0.6449230769230769,0.22071191965838624,1,0.5833333333333334,0.42083333333333334,1.0,1.0,1.0,1.0,0.5657894736842105,0.6052631578947368,0.32894736842105265,0.780701754385965,0.7284868421052632,0.24791339220507239,5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.7368421052631579,0.5,0.3026315789473684,0.5833333333333334,0.5289473684210526,0.11017767346040408,32,0.358974358974359,0.33139878024788516,1.0,1.0,1.0,1.0,0.3125,0.32407407407407407,0.2033333333333333,0.47916666666666663,0.6009447213296318,0.3318083114370716,11,0.0,0.0,0.0,0.0,0.0,0.5,0.5454545454545454,0.3870967741935484,0.23076923076923075,0.2857142857142857,0.19490348361316104,0.21269179237423938,81
463,0.09215197563171387,0.02268454541456187,0.03635571002960205,0.0018222189019211346,9,euclidean,29,uniform,"{'k': 9, 'metric': 'euclidean', 'neighbors': 29, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.76,0.6,0.24,0.24,0.8,0.6447692307692308,0.20890523317931542,2,0.5833333333333334,0.4166666666666667,1.0,1.0,1.0,1.0,0.618421052631579,0.6535087719298246,0.2149122807017544,0.780701754385965,0.7267543859649124,0.2640777053674643,6,0.5,0.5,0.5,0.5714285714285714,0.5,0.5,0.7368421052631579,0.5,0.38596491228070173,0.5833333333333334,0.5277568922305764,0.08569726871633974,35,0.358974358974359,0.32735042735042735,1.0,0.9999999999999998,1.0,1.0,0.3375,0.4027777777777778,0.17548872180451125,0.47916666666666663,0.6081257952573742,0.32777800998695006,5,0.0,0.0,0.0,0.25,0.0,0.0,0.5454545454545454,0.3870967741935484,0.2962962962962963,0.2857142857142857,0.17645619016586758,0.1918126303270133,137
54,0.05343880653381348,0.01014091688725602,0.036569833755493164,0.0009735285089741538,2,euclidean,26,uniform,"{'k': 2, 'metric': 'euclidean', 'neighbors': 26, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.48,0.24,0.24,0.76,0.6329230769230769,0.21588864102922084,24,0.5833333333333334,0.35,1.0,1.0,1.0,0.9868421052631579,0.5219298245614035,0.2456140350877193,0.8245614035087719,0.7368421052631579,0.7249122807017544,0.2715201214679264,7,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.48684210526315785,0.5,0.5,0.5,0.5153508771929824,0.05059092178023968,85,0.358974358974359,0.1929361488185018,1.0,0.9999999999999999,1.0,0.9444444444444444,0.2511509324009324,0.19776621039778935,0.6788888888888889,0.375,0.5999160983924915,0.34099448584060654,14,0.0,0.0,0.0,0.0,0.0,0.5,0.3157894736842105,0.3870967741935484,0.3870967741935484,0.0,0.1589983022071307,0.19914974662910118,210
170,0.38329572677612306,0.11728033218279839,0.22042474746704102,0.01493510389625262,4,euclidean,26,uniform,"{'k': 4, 'metric': 'euclidean', 'neighbors': 26, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.48,0.24,0.24,0.6,0.6169230769230769,0.21176742853182653,258,0.5833333333333334,0.35,1.0,1.0,1.0,0.9868421052631579,0.5219298245614035,0.2456140350877193,0.8245614035087719,0.7368421052631579,0.7249122807017544,0.2715201214679264,7,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.48684210526315785,0.5,0.5,0.7368421052631579,0.5390350877192982,0.0829504129372695,8,0.358974358974359,0.1929361488185018,1.0,0.9999999999999999,1.0,0.9444444444444444,0.2511509324009324,0.19776621039778935,0.6788888888888889,0.375,0.5999160983924915,0.34099448584060654,14,0.0,0.0,0.0,0.0,0.0,0.5,0.3157894736842105,0.3870967741935484,0.3870967741935484,0.5454545454545454,0.21354375675258525,0.2215676234355562,44
112,0.07387001514434814,0.005912524657173198,0.052262282371520995,0.003920132694199046,3,euclidean,26,uniform,"{'k': 3, 'metric': 'euclidean', 'neighbors': 26, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.48,0.24,0.24,0.6,0.6169230769230769,0.21176742853182653,258,0.5833333333333334,0.35,1.0,1.0,1.0,0.9868421052631579,0.5219298245614035,0.2456140350877193,0.8245614035087719,0.7368421052631579,0.7249122807017544,0.2715201214679264,7,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.48684210526315785,0.5,0.5,0.7368421052631579,0.5390350877192982,0.0829504129372695,8,0.358974358974359,0.1929361488185018,1.0,0.9999999999999999,1.0,0.9444444444444444,0.2511509324009324,0.19776621039778935,0.6788888888888889,0.375,0.5999160983924915,0.34099448584060654,14,0.0,0.0,0.0,0.0,0.0,0.5,0.3157894736842105,0.3870967741935484,0.3870967741935484,0.5454545454545454,0.21354375675258525,0.2215676234355562,44
318,0.48288679122924805,0.14636000951807368,0.2147472620010376,0.00688843318294989,7,cityblock,29,uniform,"{'k': 7, 'metric': 'cityblock', 'neighbors': 29, 'weights': 'uniform'}",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.84,0.48,0.24,0.2,0.8,0.6329230769230769,0.22602633768090785,24,0.5833333333333334,0.42083333333333334,1.0,1.0,1.0,1.0,0.5175438596491229,0.6052631578947368,0.32894736842105265,0.780701754385965,0.7236622807017544,0.2514764888762474,10,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.48684210526315785,0.5,0.3026315789473684,0.5833333333333334,0.5039473684210526,0.08584510986097092,171,0.358974358974359,0.33139878024788516,1.0,1.0,1.0,1.0,0.2837301587301587,0.32407407407407407,0.2033333333333333,0.47916666666666663,0.5980677372026476,0.3344113494594321,19,0.0,0.0,0.0,0.0,0.0,0.5,0.3157894736842105,0.3870967741935484,0.23076923076923075,0.2857142857142857,0.17193697643612754,0.18407356044578316,158
