,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_k,param_metric,param_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,split5_test_average_precision,split6_test_average_precision,split7_test_average_precision,split8_test_average_precision,split9_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1
115,1.5051099061965942,0.8976547883556725,0.04108703136444092,0.0017297325858801882,3,euclidean,29,uniform,"{'k': 3, 'metric': 'euclidean', 'neighbors': 29, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.7333333333333333,0.4666666666666667,0.8,0.74625,0.09711909212691168,114,0.7564102564102563,0.875,0.9375,1.0,1.0,1.0,0.9305555555555555,0.6388888888888888,0.7916666666666666,0.7083333333333334,0.86383547008547,0.12536164037216047,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5,0.5250000000000001,0.053359368645273735,40,0.5291666666666667,0.7857142857142857,0.7857142857142857,1.0,1.0,1.0,0.8095238095238095,0.264957264957265,0.375,0.3,0.6850076312576312,0.27901842955077316,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,0.07619047619047618,0.1538618516324144,181
27,0.6119595527648926,0.11730463746328688,0.0365234375,0.0015486054706103413,2,cityblock,28,uniform,"{'k': 2, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.78625,0.024011715890373198,3,0.6794871794871794,0.8958333333333333,0.9583333333333334,1.0,1.0,1.0,0.9305555555555555,0.7638888888888888,0.625,0.7083333333333334,0.8561431623931623,0.13951086284049857,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,161,0.2847222222222222,0.7222222222222222,0.8333333333333333,1.0,1.0,1.0,0.8095238095238095,0.5909090909090908,0.33333333333333337,0.3,0.687404401154401,0.278833549325554,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418
56,0.7274580717086792,0.39749207983528806,0.03606462478637695,0.0016112792940297402,2,euclidean,28,uniform,"{'k': 2, 'metric': 'euclidean', 'neighbors': 28, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.78625,0.024011715890373198,3,0.6794871794871794,0.875,0.9375,1.0,1.0,1.0,0.9305555555555555,0.7638888888888888,0.6111111111111112,0.7083333333333333,0.8505876068376068,0.13996216839130066,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,161,0.2847222222222222,0.8125,0.7857142857142857,1.0,1.0,1.0,0.8095238095238095,0.5909090909090908,0.28888888888888886,0.3,0.6872258297258297,0.28526052376862904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418
80,2.4000375509262084,4.059357538707248,0.04094107151031494,0.0019345623680785808,3,cityblock,23,uniform,"{'k': 3, 'metric': 'cityblock', 'neighbors': 23, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8666666666666667,0.8,0.8,0.7333333333333333,0.6,0.8,0.76625,0.06719710848607172,58,0.7564102564102564,0.8333333333333333,1.0,1.0,1.0,1.0,0.888888888888889,0.6527777777777778,0.5833333333333333,0.7083333333333334,0.8423076923076923,0.1516689183977653,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.7083333333333333,0.625,0.5,0.55,0.078616509433805,5,0.3958333333333333,0.7159090909090909,1.0,1.0,1.0,1.0,0.5333333333333333,0.5380952380952381,0.28888888888888886,0.3,0.6772059884559883,0.2881975131825754,5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.4,0.0,0.13999999999999999,0.21540659228538014,52
26,0.6906154155731201,0.5282554924957759,0.035808253288269046,0.0011799343960959962,2,cityblock,27,uniform,"{'k': 2, 'metric': 'cityblock', 'neighbors': 27, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.3333333333333333,0.4,0.8,0.6995833333333333,0.16870061005619788,235,0.6794871794871794,0.8958333333333333,1.0,1.0,1.0,1.0,0.9305555555555555,0.16666666666666663,0.7083333333333333,0.9027777777777777,0.8283653846153847,0.24754460826731678,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.625,0.5,0.5208333333333334,0.04269562819149833,56,0.2847222222222222,0.7222222222222222,1.0,1.0,1.0,1.0,0.8095238095238095,0.1841491841491842,0.3055555555555556,0.7666666666666666,0.707283966033966,0.31153608001783584,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4,0.0,0.0775,0.155100773692461,173
79,1.6002428770065307,0.9704929102533846,0.04027900695800781,0.0015924016243100267,3,cityblock,22,uniform,"{'k': 3, 'metric': 'cityblock', 'neighbors': 22, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.5333333333333333,0.8,0.7595833333333333,0.07901410739017856,73,0.6666666666666666,0.7083333333333333,0.8750000000000001,1.0,1.0,0.9722222222222222,0.8055555555555556,0.6666666666666667,0.8333333333333334,0.7083333333333333,0.8236111111111111,0.12775513084330556,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.7083333333333334,0.5,0.5458333333333333,0.09213893494789993,9,0.4583333333333333,0.4909090909090909,0.5833333333333333,1.0,1.0,0.8333333333333333,0.4111111111111111,0.4,0.5,0.3,0.5977020202020202,0.24131280495388294,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.4615384615384615,0.0,0.1032967032967033,0.2080495793325515,100
249,4.229323172569275,1.7599550116677385,0.053445863723754886,0.002804967350387829,6,cityblock,18,uniform,"{'k': 6, 'metric': 'cityblock', 'neighbors': 18, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.78625,0.024011715890373198,3,0.6794871794871794,0.7395833333333334,0.6979166666666666,1.0,0.9999999999999999,0.9166666666666666,0.8472222222222222,0.75,0.6944444444444445,0.861111111111111,0.8186431623931624,0.11761651160271892,7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.525,0.075,43,0.2847222222222222,0.6519230769230769,0.5125,1.0,1.0,0.6,0.6095238095238096,0.3333333333333333,0.41025641025641024,0.5444444444444444,0.5946703296703297,0.23232717079159101,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.0,0.05714285714285715,0.17142857142857143,263
165,6.6758952856063845,7.313706322119752,0.044458866119384766,0.00203941416057642,4,euclidean,21,uniform,"{'k': 4, 'metric': 'euclidean', 'neighbors': 21, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.4666666666666667,0.4666666666666667,0.8,0.7195833333333334,0.12853406919740948,185,0.4871794871794871,0.6666666666666666,1.0,1.0,1.0,1.0,0.8472222222222222,0.6805555555555556,0.7361111111111112,0.7083333333333334,0.8126068376068376,0.17407659491042907,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5416666666666666,0.6666666666666666,0.625,0.5333333333333333,0.05833333333333333,28,0.25,0.4776785714285714,1.0,1.0,1.0,1.0,0.5111111111111111,0.40476190476190477,0.3222222222222222,0.35,0.6315773809523809,0.3087346537460443,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.4,0.11619047619047618,0.17882458246146418,79
259,3.6764514207839967,0.3445994902850958,0.053551650047302245,0.002280713277781988,6,cityblock,28,uniform,"{'k': 6, 'metric': 'cityblock', 'neighbors': 28, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.78625,0.024011715890373198,3,0.9487179487179487,0.5729166666666666,0.9583333333333334,1.0,1.0,0.875,0.9583333333333334,0.4722222222222222,0.611111111111111,0.7222222222222222,0.8118856837606836,0.18899781197665172,9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,161,0.7333333333333334,0.3034090909090909,0.8,1.0,1.0,0.5,0.75,0.24444444444444446,0.264957264957265,0.3528138528138528,0.5948957986457987,0.28244606479301054,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418
341,4.112125134468078,0.3502376364368544,0.058033537864685056,0.0029761155612433197,7,euclidean,23,uniform,"{'k': 7, 'metric': 'euclidean', 'neighbors': 23, 'weights': 'uniform'}",0.8125,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.6,0.8,0.76625,0.06022094735222954,58,0.8846153846153846,0.625,0.9166666666666667,0.9791666666666667,0.9583333333333334,1.0,0.9166666666666666,0.8194444444444444,0.375,0.611111111111111,0.8086004273504275,0.1944529633829356,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,161,0.5,0.375,0.8333333333333333,0.9166666666666666,0.8333333333333333,1.0,0.8095238095238095,0.41666666666666663,0.2012820512820513,0.27380952380952384,0.6159615384615384,0.27751243698648426,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.025,0.07500000000000001,388
